Zip,city,state,metro,county,rent_1br_sqft,rent_1br_monthly,rent_2br_sqft,rent_2br_monthly,rent_sf_sqft,rent_sf_monthly,buy_home,buy_home_sqft,price_rent_ratio
33139.0,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,2.85171102661597,1862.0,2.8759244042728,3200.0,3.2252228970151204,,450000.0,561.509971509972,13.65
33141.0,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,2.02850877192982,1600.0,1.93461929962738,2217.5,2.13025525525526,,411700.0,339.366515837104,11.93
33125.0,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.02484472049689,1300.0,1.77124183006536,1500.0,,,267000.0,243.212669683258,
33126.0,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,1.9834710743801696,1390.0,1.71290322580645,1650.0,,,200000.0,211.225658648339,9.76
33161.0,North Miami,FL,Miami-Fort Lauderdale,Miami-Dade,1.51162790697674,1100.0,1.45366379310345,1399.0,1.53655308277157,2000.0,267000.0,172.699972699973,
33130.0,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.7129870129870097,2044.5,2.461257976299,2737.5,,,460000.0,437.1915112003431,11.56
33131.0,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.69401221455125,2100.0,2.50737463126844,2850.0,,,490000.0,491.641101278269,13.28
33133.0,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.52645861601085,1745.0,2.3301866704521297,2400.0,2.12201591511936,3500.0,875000.0,459.520911870343,15.03
33140.0,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,2.2727272727272703,2000.0,2.42268041237113,2962.5,2.6923533828687995,,619950.0,517.449500154591,14.76
33162.0,North Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,1.4745308310992,1100.0,1.39945652173913,1300.0,1.37118902439024,1825.0,,163.269778654394,
33138.0,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.25728155339806,1600.0,1.86628383921247,2150.0,1.77116228612201,2900.0,549000.0,305.43464276642504,14.83
33137.0,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.75633958103638,2150.0,2.5402201524132098,2900.0,2.11378557856914,3195.0,534995.0,453.349540078844,
33145.0,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.4,1650.0,1.9583333333333304,2100.0,1.64473684210526,2500.0,399000.0,298.087962962963,14.22
33166.0,Miami Springs,FL,Miami-Fort Lauderdale,Miami-Dade,1.72839506172839,1400.0,1.61290322580645,1650.0,,,398990.0,266.634288489558,13.01
33181.0,North Miami,FL,Miami-Fort Lauderdale,Miami-Dade,1.70384138785626,1263.0,1.4375,1714.0,,,289500.0,203.120751686679,9.86
33129.0,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.44285714285714,1850.0,2.304272469094549,2600.0,2.05882352941176,,569000.0,423.873325213155,14.42
33132.0,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,2.42483026188167,1990.0,2.30425813703237,2850.0,,,420000.0,405.589045061055,13.1
33135.0,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,1557.5,2.23297793430988,1841.5,,,299000.0,229.591836734694,
33169.0,Miami Gardens,FL,Miami-Fort Lauderdale,Miami-Dade,,,1.26936316695353,1400.0,1.24958361092605,1850.0,,123.32628611698401,
33127.0,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,1.92762871553291,1750.0,,1945.0,295900.0,244.38687392055303,
33136.0,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,2.12753848760138,1900.0,,,257250.0,284.190371991247,
33175.0,Tamiami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,1537.0,1.28048780487805,2245.0,370000.0,206.342421966039,12.62
33177.0,South Miami Heights,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,1.220703125,1950.0,294500.0,180.21974452842602,12.4
33055.0,Miami Gardens,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,249000.0,174.335709656513,11.71
33056.0,Miami Gardens,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,239700.0,165.771064010652,
33054.0,Miami Gardens,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,195000.0,180.041152263374,
33144.0,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,380000.0,239.576154135915,12.85
33168.0,North Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,249900.0,176.242236024845,
33184.0,Tamiami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,389000.0,188.933873144399,12.5
33182.0,Tamiami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,412450.0,205.350066050198,12.45
33128.0,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,9.23
